customerID,tenure,MonthlyCharges,TotalCharges,Churn,TotalCharges_numeric,TotalCharges_log,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0.013888888888888888,0.11542288557213931,29.85,0,29.85,0.07289153499502216,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5575-GNVDE,0.4722222222222222,0.3850746268656716,1889.5,0,1889.5,0.7493577245457734,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3668-QPYBK,0.027777777777777776,0.35422885572139307,108.15,1,108.15,0.2805896921862903,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7795-CFOCW,0.625,0.23930348258706463,1840.75,0,1840.75,0.7450634845475941,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9237-HQITU,0.027777777777777776,0.5218905472636816,151.65,1,151.65,0.3357240957583488,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9305-CDSKC,0.1111111111111111,0.8099502487562189,820.5,1,820.5,0.6123595037961822,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1452-KIOVK,0.3055555555555555,0.7049751243781094,1949.4,0,1949.4,0.7544850012275428,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
6713-OKOMC,0.1388888888888889,0.11442786069651739,301.9,0,301.9,0.4483608003433485,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7892-POOKP,0.38888888888888884,0.8611940298507462,3046.05,1,3046.05,0.8278178119794832,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
6388-TABGU,0.861111111111111,0.3771144278606965,3487.95,0,3487.95,0.8500782000394116,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9763-GRSKD,0.18055555555555555,0.3154228855721393,587.45,0,587.45,0.5575184482844298,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7469-LKBCI,0.2222222222222222,0.006965174129353213,326.8,0,326.8,0.4613463407448964,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
8091-TTVAX,0.8055555555555555,0.8169154228855721,5681.1,0,5681.1,0.9302456989089969,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
0280-XJGEX,0.6805555555555555,0.8502487562189055,5036.3,1,5036.3,0.9104469885646171,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
5129-JLPIS,0.3472222222222222,0.8681592039800995,2686.05,0,2686.05,0.807151330562043,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
3655-SNQYZ,0.9583333333333333,0.945273631840796,7895.15,0,7895.15,0.9843330169609312,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
8191-XWSZG,0.7222222222222222,0.023880597014925342,1022.95,0,1022.95,0.6485691727546854,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
9959-WOFKT,0.986111111111111,0.8800995024875623,7382.25,0,7382.25,0.9732935699124092,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
4190-MFLUW,0.1388888888888889,0.36766169154228856,528.35,1,528.35,0.5401209715662585,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
4183-MYFRB,0.29166666666666663,0.7144278606965173,1862.9,0,1862.9,0.7470285282993698,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
8779-QRDMV,0.013888888888888888,0.21293532338308457,39.65,1,39.65,0.11823552562442091,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
1680-VDCWW,0.16666666666666666,0.015422885572139305,202.25,0,202.25,0.382781983504126,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1066-JKSGK,0.013888888888888888,0.018905472636815884,20.15,1,20.15,0.010841640185966617,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
3638-WEABW,0.8055555555555555,0.4144278606965174,3505.1,0,3505.1,0.8508841941910863,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
6322-HRPFA,0.6805555555555555,0.4114427860696518,2970.3,0,2970.3,0.823679856146958,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6865-JZNKO,0.41666666666666663,0.3686567164179104,1530.6,0,1530.6,0.7147527590115401,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6467-CHFZW,0.6527777777777778,0.8069651741293532,4749.15,1,4749.15,0.9007993364112754,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
8665-UTDHZ,0.013888888888888888,0.11890547263681589,30.2,1,30.2,0.07474587165195418,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5248-YGIJN,1.0,0.7164179104477612,6369.45,0,6369.45,0.9490415051960746,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
8773-HHUOZ,0.2361111111111111,0.4621890547263682,1093.1,1,1093.1,0.659461183478788,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
3841-NFECX,0.986111111111111,0.7771144278606964,6766.95,0,6766.95,0.9589906313101944,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
4929-XIHVW,0.027777777777777776,0.7686567164179104,181.65,0,181.65,0.365216375207253,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
6827-IEAUQ,0.375,0.47661691542288565,1874.45,0,1874.45,0.7480439465568052,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
7310-EGVHZ,0.013888888888888888,0.019402985074626844,20.2,0,20.2,0.011229767771486487,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
3413-BMNZE,0.013888888888888888,0.26865671641791045,45.25,0,45.25,0.1394498022416824,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,1.0,0.8124378109452737,7251.7,0,7251.7,0.9703611565051378,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
6047-YHPVI,0.06944444444444445,0.5119402985074627,316.9,1,316.9,0.45630557910588293,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6572-ADKRS,0.6388888888888888,0.5626865671641791,3548.3,0,3548.3,0.8528971083403236,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5380-WJKOV,0.4722222222222222,0.8766169154228854,3549.25,1,3549.25,0.8529410979901528,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
8168-UQWWF,0.15277777777777776,0.7920398009950248,1105.4,1,1105.4,0.6612987623167919,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
8865-TNMNX,0.1388888888888889,0.3114427860696517,475.7,0,475.7,0.5229009583657112,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9489-DEDVP,0.9722222222222222,0.5069651741293533,4872.35,0,4872.35,0.9050081443083169,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
9867-JCZSP,0.2361111111111111,0.02487562189054726,418.25,0,418.25,0.5017923180911283,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
4671-VJLCL,0.875,0.6129353233830845,4861.45,0,4861.45,0.9046400892804771,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0
4080-IIARD,0.18055555555555555,0.5766169154228856,981.45,0,981.45,0.6417685256153849,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
3714-NTNFO,0.6805555555555555,0.6592039800995024,3906.7,0,3906.7,0.8687094545901606,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
5948-UJZLF,0.027777777777777776,0.30845771144278605,97,0,97.0,0.2628776927231648,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7760-OYPDY,0.027777777777777776,0.6208955223880598,144.15,1,144.15,0.32744303189113994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
7639-LIAYI,0.7222222222222222,0.6119402985074627,4217.8,0,4217.8,0.8813006360167719,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
2954-PIBKO,0.9583333333333333,0.4567164179104478,4254.1,0,4254.1,0.8827088986830409,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
8012-SOUDQ,0.5972222222222222,0.7164179104477612,3838.75,0,3838.75,0.8658260901749066,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
9420-LOJKX,0.20833333333333331,0.8044776119402984,1426.4,1,1426.4,0.703171384982284,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
6575-SUVOI,0.3472222222222222,0.5099502487562189,1752.65,0,1752.65,0.7370064846851745,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
7495-OOKFY,0.1111111111111111,0.6208955223880598,633.3,1,633.3,0.5698512872151045,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4667-QONEA,0.8333333333333333,0.56318407960199,4456.35,0,4456.35,0.8903417004005942,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0
1658-BYGOY,0.25,0.7681592039800995,1752.55,1,1752.55,0.7369971112843909,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
8769-KKTPH,0.875,0.8099502487562189,6311.2,0,6311.2,0.947531610376295,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
5067-XJQFU,0.9166666666666666,0.8975124378109453,7076.35,0,7076.35,0.9663382729573851,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
3957-SQXML,0.4722222222222222,0.06666666666666665,894.3,0,894.3,0.6264999169401391,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
5954-BDFSG,1.0,0.8880597014925372,7853.7,0,7853.7,0.983467891166687,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0434-CSFON,0.6527777777777778,0.818407960199005,4707.1,0,4707.1,0.8993377792958983,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1215-FIGMP,0.8333333333333333,0.7129353233830846,5450.7,0,5450.7,0.9234417854271952,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0526-SXDJP,1.0,0.2373134328358209,2962,0,2962.0,0.8232200586560319,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
